Date,Hour,Hourly rainfall value dhapdam,DateTime
27/9/2024,0,6,27/9/2024 00:00
27/9/2024,1,6,27/9/2024 01:00
27/9/2024,2,6,27/9/2024 02:00
27/9/2024,3,6,27/9/2024 03:00
27/9/2024,4,6,27/9/2024 04:00
27/9/2024,5,6,27/9/2024 05:00
27/9/2024,6,6,27/9/2024 06:00
28/9/2024,0,10,28/9/2024 00:00
28/9/2024,1,10,28/9/2024 01:00
28/9/2024,2,10,28/9/2024 02:00
28/9/2024,3,10,28/9/2024 03:00
28/9/2024,4,10,28/9/2024 04:00
28/9/2024,5,10,28/9/2024 05:00
28/9/2024,6,10,28/9/2024 06:00
28/9/2024,7,10,28/9/2024 07:00
28/9/2024,8,10,28/9/2024 08:00
28/9/2024,9,10,28/9/2024 09:00
28/9/2024,10,10,28/9/2024 10:00
28/9/2024,11,10,28/9/2024 11:00
28/9/2024,12,0,28/9/2024 12:00
28/9/2024,13,0,28/9/2024 13:00
28/9/2024,14,0,28/9/2024 14:00
28/9/2024,15,0,28/9/2024 15:00
28/9/2024,16,0,28/9/2024 16:00
28/9/2024,17,0,28/9/2024 17:00
28/9/2024,18,0,28/9/2024 18:00
28/9/2024,19,0,28/9/2024 19:00
28/9/2024,20,0,28/9/2024 20:00
28/9/2024,21,0,28/9/2024 21:00
28/9/2024,22,0,28/9/2024 22:00
28/9/2024,23,0,28/9/2024 23:00
